EnrollmentNo,sub1,sub2,sub3,sub4,sub5
E2185,50,79,71,95,80
E6522,68,48,86,43,91
E9000,67,95,90,82,79
E0730,52,98,78,89,84
E1291,41,58,47,65,66
E9182,75,74,59,41,46
E5321,77,60,63,86,68
E3242,41,77,53,71,96
E6726,67,83,43,55,41
E5493,61,84,77,70,58
E5850,88,41,71,98,77
E7250,74,65,91,86,87
E8009,60,68,95,48,66
E1765,50,71,46,57,89
E1282,76,100,84,99,58
E3100,41,87,52,79,68
E1046,71,95,66,53,57
E4299,54,49,55,51,75
E4643,80,94,79,69,70
E7598,47,46,60,69,48
E7281,73,96,51,47,74
E9410,45,91,64,99,65
E2806,67,100,88,77,80
E5701,48,83,54,40,88
E8689,49,59,57,81,90
E8999,64,67,44,63,70
E3993,75,40,81,75,51
E6589,95,82,85,82,79
E3882,69,50,59,77,97
E3780,65,86,80,70,54
E2168,51,51,100,62,63
E3888,62,87,86,42,60
E1673,44,76,85,73,81
E3022,57,52,73,46,100
E7936,67,51,54,73,88
E5828,57,45,43,72,79
E8459,100,80,73,74,47
E7165,68,72,99,88,48
E0297,45,76,72,44,63
E8188,100,56,62,70,99
E4494,86,57,86,67,76
E6600,50,53,88,77,62
E6219,50,81,99,70,70
E7327,76,98,73,69,78
E5027,61,61,84,70,80
E6889,59,84,94,72,88
E4122,69,57,50,40,84
E7484,52,80,51,80,76
E1163,76,92,59,87,58
E8574,81,49,65,67,91
E6958,100,98,55,51,71
E4658,88,80,44,97,40
E2509,52,83,53,81,48
E8963,86,82,85,79,70
E8664,75,73,66,93,50
E2157,77,57,83,90,74
E3445,75,46,62,53,100
E8354,50,60,79,98,44
E7601,57,83,78,71,51
E6507,77,48,51,54,48
E7297,57,54,87,89,64
E1711,89,82,40,49,81
E6401,74,92,87,45,87
E9483,53,55,45,53,49
E0182,72,40,85,48,60
E0663,94,91,99,59,88
E7038,76,77,95,84,59
E4619,97,76,88,56,97
E7778,98,52,75,46,69
E6304,59,56,98,74,88
E9996,50,63,64,62,91
E9219,53,95,58,54,60
E6960,57,40,92,57,64
E2358,56,97,58,83,50
E6481,57,50,83,46,80
E3134,84,47,89,47,62
E1524,79,99,51,49,91
E2826,41,60,40,92,81
E2701,69,61,78,78,77
E2088,94,55,54,42,77
E5082,63,41,70,41,82
E9734,42,93,65,80,94
E0483,44,65,74,64,66
E2211,66,43,51,65,82
E9755,86,66,49,56,80
E6769,77,53,70,91,84
E8603,58,72,91,45,60
E5883,64,59,51,67,85
E3502,71,93,48,43,77
E9236,42,98,50,87,50
E2154,48,96,79,68,65
E8035,89,48,51,87,64
E2523,93,80,76,60,98
E3094,85,65,41,79,72
E9486,97,90,84,50,44
E9063,99,79,42,66,56
E7348,79,61,68,78,75
E6088,46,45,64,83,95
E6640,69,45,45,67,94
E7039,73,51,58,89,89
E3955,100,98,88,88,72
E4173,86,40,50,64,71
E6000,56,97,64,51,42
E8561,81,76,48,64,57
E1021,60,65,88,92,99
E4904,49,85,82,99,86
E4220,86,41,88,48,81
E1345,54,59,76,73,66
E2320,41,92,66,40,93
E8550,42,80,65,55,51
E9946,44,94,75,48,75
E7314,65,75,88,47,42
E8432,71,41,52,69,96
E1410,97,93,94,51,73
E1582,63,47,97,68,80
E9651,82,47,51,45,41
E9265,99,40,76,79,44
E5183,46,40,48,51,59
E5309,96,88,47,51,76
E1009,52,48,83,94,61
E6274,69,94,74,63,63
E1746,90,47,61,50,54
E8201,94,50,83,49,50
E1966,88,75,75,89,79
E8577,65,59,49,43,59
E0404,86,43,77,87,51
E6107,73,70,100,88,79
E0697,97,58,100,60,84
E3404,83,46,58,54,42
E4645,59,46,72,56,52
E8252,65,64,52,80,100
E4274,82,92,98,98,48
E1055,64,88,78,71,42
E4770,92,91,53,57,71
E0316,83,73,67,75,82
E0606,94,59,92,77,41
E9197,94,69,80,67,61
E5264,71,68,79,45,83
E0197,70,99,55,82,97
E2915,69,68,44,42,100
E3585,55,46,71,82,59
E7202,70,83,78,59,71
E1293,70,95,90,100,91
E4478,91,41,48,72,40
E7047,99,72,98,93,94
E3470,62,91,54,92,87
E4545,46,88,81,49,70
E3754,56,61,87,100,63
E2824,99,96,62,72,77
E5812,41,74,70,64,60
E4394,83,62,40,72,100
E7412,51,65,47,96,68
E0140,76,82,75,72,42
E7942,68,80,89,59,67
E3501,88,57,46,65,58
E8435,52,62,91,61,65
E9166,97,80,67,43,91
E4509,89,98,67,85,73
E6344,68,93,56,83,49
E8288,80,75,84,90,63
E3637,87,97,86,89,76
E2838,66,51,88,82,48
E9379,68,95,63,60,40
E3504,46,80,82,43,78
E9516,82,93,97,69,79
E3544,96,67,47,99,56
E2040,45,73,93,61,41
E3891,42,43,40,99,90
E5150,76,94,79,44,98
E2390,96,48,82,43,80
E6797,67,67,62,68,88
E0296,50,41,69,51,74
E9576,100,63,99,60,96
E0485,52,93,82,56,79
E7840,62,41,56,91,76
E4747,60,90,74,79,91
E8436,43,51,97,94,78
E1798,75,95,91,48,61
E8021,91,50,56,68,48
E2097,89,60,58,77,62
E1139,81,43,79,76,45
E1745,72,63,46,52,59
E3770,48,85,52,52,100
E2613,90,85,55,97,57
E7094,87,99,88,97,75
E7676,52,79,80,67,77
E7182,73,63,71,99,63
E5942,93,86,67,75,83
E8196,88,96,85,82,82
E7660,64,65,97,55,90
E2775,79,61,50,58,63
E7666,92,59,40,51,67
E4891,49,98,88,72,53
E2651,77,41,64,80,61
E6297,72,100,67,99,41
E3244,42,43,81,66,45
E2658,84,53,52,54,78
E1613,100,52,51,97,56
E4931,42,52,48,61,49
E9486,87,99,98,100,45
E9947,73,90,60,57,95
E0867,73,44,68,94,62
E0194,77,80,46,50,96
E8495,64,85,88,88,41
E3470,48,41,64,100,75
E0422,55,80,62,79,89
E3055,74,40,88,69,58
E4110,77,54,42,59,73
E4340,46,64,71,62,75
E4294,53,75,43,71,55
E9370,100,54,41,59,44
E7083,89,78,66,90,100
E1322,53,89,91,98,50
E2028,67,95,94,95,88
E8676,60,64,62,84,74
E0610,47,74,93,90,49
E1647,77,45,81,100,62
E1269,74,45,41,93,50
E8332,55,44,96,60,72
E2876,89,82,92,85,80
E8390,97,66,59,63,50
E8758,99,96,76,91,85
E9753,92,83,95,57,89
E2981,49,55,50,98,83
E0338,97,81,89,69,72
E6846,41,75,44,52,52
E5779,80,63,93,76,91
E6395,62,43,72,67,76
E8867,78,72,65,56,78
E2519,63,86,78,83,76
E9198,94,98,75,81,97
E5248,63,85,93,48,87
E0052,55,51,93,66,50
E2310,92,100,97,46,63
E8452,59,41,64,73,44
E0233,48,47,57,70,45
E0972,93,58,63,48,94
E6582,63,98,49,66,54
E4348,88,96,67,100,96
E5673,82,54,50,43,79
E3436,52,65,48,60,56
E4686,55,88,78,49,93
E4056,52,63,62,94,46
E8586,44,43,62,62,94
E6085,44,88,46,84,62
E7868,61,72,99,70,42
E9450,45,57,62,93,67
E9789,48,78,82,84,42
E6851,77,85,95,40,96
E5800,74,57,71,85,60
E5430,70,89,58,46,93
E8784,92,46,92,60,41
E2277,68,91,89,76,97
E4764,47,93,42,40,73
E8873,41,61,77,55,71
E8071,94,60,85,68,42
E7870,83,57,92,46,78
E3902,58,58,69,81,59
E6903,69,85,77,40,98
E6852,58,82,72,72,58
E6083,43,83,99,53,56
E5711,51,75,50,48,41
E3910,48,67,91,79,52
E7817,67,64,65,89,81
E1765,85,46,87,93,90
E6813,77,90,52,53,41
E6072,49,53,73,85,59
E2956,47,68,65,86,41
E7378,61,66,61,90,95
E5896,49,70,43,52,78
E8993,43,60,43,91,75
E1774,58,59,83,92,52
E1826,54,65,56,77,45
E7492,94,72,75,89,85
E1770,81,40,41,46,40
E4228,90,88,42,43,74
E9538,78,46,88,43,57
E3661,52,43,49,71,61
E4564,72,58,90,60,78
E1723,84,57,52,73,69
E3703,89,84,95,56,99
E2931,86,51,64,73,70
E4977,56,100,100,48,85
E3594,68,61,62,45,47
E5186,100,52,60,91,65
E4286,49,95,93,65,91
E1461,82,44,91,82,47
E4207,54,53,82,69,78
E7760,92,76,84,59,42
E9489,60,83,62,78,50
E2333,75,94,90,75,54
E4630,94,93,48,63,80
E1004,57,40,61,57,51
E6771,46,97,65,52,79
E4415,73,92,61,48,92
E8185,91,50,53,89,85
E2136,90,93,84,93,92
E4994,67,49,67,89,52
E4090,61,87,58,84,68
E1380,98,90,59,83,69
E1718,58,72,77,98,88
E6648,45,88,48,95,89
E1107,99,58,74,81,84
E9490,84,67,90,96,56
E0726,85,62,58,98,45
E0501,47,66,56,51,78
E3540,61,89,69,61,94
E4496,96,77,72,51,90
E2277,64,100,84,60,74
E2500,51,74,59,65,91
E8214,94,70,44,50,95
E3490,67,76,47,49,96
E2173,48,63,75,82,43
E1624,77,41,92,54,91
E7752,82,74,42,77,56
E6472,93,62,89,77,46
E8793,99,96,66,55,45
E9455,78,85,63,71,97
E2676,75,65,74,81,56
E3754,57,59,86,64,71
E1156,100,99,72,70,53
E7958,63,87,49,81,42
E7770,72,63,97,47,62
E1366,82,41,98,96,78
E2031,85,88,89,84,73
E8388,78,68,67,83,60
E7535,70,95,55,98,58
E1523,86,77,68,82,56
E1616,71,70,49,63,54
E1912,57,44,87,88,50
E3032,58,54,94,73,88
E6052,84,64,100,61,100
E7400,74,73,62,74,52
E1775,78,71,43,94,82
E8602,48,76,41,76,86
E9341,50,74,47,90,91
E4223,88,87,76,89,68
E6649,77,67,81,67,99
E4811,76,69,95,71,99
E5180,42,96,89,100,44
E7092,69,97,41,52,55
E4068,40,70,62,99,51
E9665,66,89,40,91,46
E8771,83,75,80,89,57
E1193,69,90,46,78,68
E9771,93,97,82,82,80
E5147,71,92,45,41,68
E6443,70,48,77,53,60
E3889,47,96,82,72,95
E8505,67,56,90,58,80
E9296,73,45,50,43,64
E2358,70,45,66,87,76
E8448,60,86,88,66,98
E4985,97,80,63,77,73
E8209,78,79,96,85,89
E2550,48,96,46,49,60
E4932,85,66,48,76,42
E4058,67,99,50,97,42
E8710,73,54,75,98,84
E7315,55,41,86,72,96
E3809,73,94,87,78,91
E0409,89,70,53,73,59
E6476,70,94,94,69,68
E1782,97,63,92,57,41
E5930,80,46,90,86,43
E1967,87,92,56,95,53
E1931,53,81,48,65,42
E9863,55,98,42,57,85
E5753,87,88,73,95,69
E1356,81,43,70,50,88
E3273,43,93,83,88,65
E5257,70,45,40,58,56
E6633,62,55,59,59,81
E6559,55,84,75,44,58
E2502,44,66,76,96,44
E4599,41,58,41,70,51
E7438,65,99,91,83,51
E9232,66,98,74,47,50
E9864,98,74,79,70,60
E9409,91,71,62,97,70
E5440,45,74,87,65,64
E4368,55,98,42,54,75
E7079,53,70,51,99,54
E8787,99,69,89,87,80
E6487,81,66,43,90,49
E8477,75,49,61,40,84
E7347,42,63,83,93,67
E1743,43,92,48,84,56
E3686,76,81,90,58,87
E0520,54,87,81,63,74
E2944,53,66,81,44,60
E8253,78,55,72,65,63
E3942,68,56,100,56,66
E9468,79,62,50,54,84
E2544,65,55,75,44,67
E5178,53,42,62,77,46
E9890,43,77,77,63,98
E9719,84,58,65,53,99
E4575,53,58,43,100,75
E7562,88,94,40,47,52
E8001,92,67,67,69,72
E2393,61,54,97,40,56
E7393,100,42,68,54,50
E7221,89,42,55,42,88
E8746,69,78,91,84,52
E4396,53,56,43,51,61
E7054,58,86,59,80,50
E4482,61,69,79,86,46
E6308,68,67,86,48,93
E8237,80,83,94,100,50
E2116,59,97,52,62,54
E5889,92,100,80,55,55
E5557,58,84,68,86,100
E7848,90,76,82,53,60
E9065,97,40,90,78,59
E8334,68,56,53,90,62
E6083,45,71,84,70,62
E6166,85,57,58,45,40
E6487,86,60,58,96,44
E9755,89,44,49,48,41
E3132,85,57,90,60,64
E7841,62,58,44,44,89
E5136,71,63,47,86,55
E7618,90,61,53,80,58
E8183,74,40,86,91,68
E7263,41,77,81,41,75
E1986,47,85,97,78,84
E0888,80,77,79,93,43
E5145,87,63,53,70,99
E1845,97,55,71,73,96
E3502,72,77,51,58,78
E6764,90,95,60,42,44
E4034,76,48,61,75,75
E9195,95,57,51,61,56
E8151,90,44,89,45,44
E1508,69,68,97,65,52
E9424,43,91,69,94,79
E5129,98,61,46,76,95
E7512,93,46,47,66,64
E3628,66,71,97,42,74
E8080,95,74,93,99,57
E5339,75,63,68,53,66
E4773,44,85,56,71,79
E1485,97,67,48,61,70
E5103,61,83,40,97,44
E6801,75,93,80,54,99
E4571,98,74,72,46,40
E4110,81,58,100,86,99
E8774,88,88,41,61,81
E2822,76,58,42,43,60
E8686,96,96,75,65,82
E2595,91,94,78,74,99
E4504,91,92,87,66,46
E5300,51,53,83,53,73
E7795,82,50,87,41,66
E4385,57,96,86,40,100
E8937,83,90,49,99,65
E6442,69,68,88,51,79
E0073,72,71,83,99,60
E5625,88,62,53,60,71
E3510,83,65,46,98,80
E0547,45,93,52,87,49
E7898,60,65,98,42,57
E2770,66,92,75,89,43
E5023,97,69,88,91,63
E6036,54,42,88,55,86
E9944,64,92,98,60,52
E8370,53,53,77,68,98
E5970,97,100,68,61,86
E5765,81,85,90,65,100
E7470,87,60,67,93,66
E1341,70,79,98,55,66
E9008,92,60,92,91,89
E7315,87,68,93,71,46
E2129,61,100,65,80,91
E7690,47,68,57,45,72
E7122,82,80,50,81,42
E3307,72,60,65,48,63
E6722,56,70,89,67,74
E8567,90,41,60,100,58
E0736,56,82,77,67,63
E9231,63,76,78,61,58
E7387,49,76,42,41,49
E0768,84,79,47,63,92
E2697,40,57,41,55,53
E9475,52,68,47,77,60
E8529,57,50,90,100,48
E9390,66,41,93,100,48
E0690,82,68,67,43,74
E3710,67,83,72,57,47
E3792,97,55,84,44,47
E0451,59,89,48,81,73
E8213,43,73,60,50,55
E5903,73,75,47,54,73
E5807,52,69,79,62,58
E7647,56,63,65,61,83
E9198,78,76,74,95,44
E6952,49,57,41,96,44
E6631,46,81,64,57,75
E6273,77,86,69,52,78
E1281,92,63,63,72,99
E4042,100,42,62,75,42
E0065,58,88,46,54,47
E0063,56,84,78,63,95
E2247,85,72,85,61,45
E9542,40,49,82,46,92
E9500,89,87,84,84,94
E4198,55,46,95,68,49
E9301,69,97,98,81,86
E6147,71,65,94,57,42
E1385,56,97,54,58,82
E7744,92,65,89,74,68
E0040,94,70,73,73,75
E0107,87,64,93,88,91
E9578,41,50,47,97,61
E0700,87,58,51,76,56
E8950,64,48,83,56,84
E7178,84,74,93,68,52
E5251,80,76,45,98,60
E4743,61,63,84,81,99
E9653,71,93,91,67,49
E4791,84,65,48,50,66
E0531,83,80,58,68,52
E5112,65,40,89,92,86
E8996,74,93,42,65,76
E5671,45,63,60,93,95
E4067,87,95,53,85,59
E9514,97,65,54,59,98
E7081,62,42,90,98,67
E2501,74,42,73,79,73
E9236,66,75,85,70,67
E2827,84,88,54,96,79
E7939,82,78,97,68,47
E9868,73,64,43,77,52
E6129,73,69,50,41,60
E5950,43,62,91,59,93
E4533,45,73,45,59,94
E0271,88,67,77,43,46
E4200,55,67,100,59,97
E0030,76,91,86,78,95
E1620,80,92,44,59,51
E1163,40,76,62,82,55
E9496,58,92,44,94,59
E7173,91,74,56,68,72
E2107,88,74,45,62,41
E8767,49,81,48,97,40
E9418,77,59,52,93,84
E5463,63,80,69,68,60
E5512,91,77,64,46,84
E2715,63,96,85,59,43
E3121,74,59,80,64,77
E3033,73,93,65,76,94
E8186,100,56,67,81,70
E7850,65,62,98,87,48
E4355,96,97,78,44,77
E6845,45,90,55,69,83
E4800,52,47,71,93,51
E8401,44,74,80,57,64
E1731,78,69,43,91,90
E4884,86,41,83,52,95
E5105,75,79,61,69,82
E1434,48,50,93,80,70
E7614,44,86,55,96,46
E4758,61,58,56,77,90
E5381,98,91,65,69,76
E5071,63,45,99,94,78
E3286,50,42,61,46,95
E3644,48,46,78,95,74
E0821,76,72,50,86,48
E6077,79,95,70,79,86
E7976,41,40,66,96,57
E1261,55,41,91,46,50
E5836,43,54,79,88,62
E6875,43,48,52,70,59
E1755,64,96,80,81,70
E5596,41,65,77,49,84
E1107,90,54,54,97,90
E2733,99,41,92,97,97
E5436,76,49,46,42,78
E8087,51,92,66,42,79
E9248,46,67,55,74,87
E3435,91,69,74,70,77
E1144,89,60,62,84,77
E2764,94,84,47,63,89
E0692,62,51,81,64,93
E2065,51,95,67,44,65
E2773,91,55,49,66,55
E2617,43,78,69,48,72
E5793,48,70,69,60,54
E2490,92,45,75,89,67
E3986,81,91,62,47,97
E0711,41,64,71,46,75
E3784,47,82,79,71,94
E2388,65,89,86,41,47
E1874,64,48,95,58,62
E3037,82,45,69,58,55
E3532,57,66,85,68,82
E2966,65,62,98,90,87
E0127,81,79,47,84,57
E5039,49,57,96,43,94
E4459,40,91,53,88,95
E8465,63,59,70,92,86
E5858,86,48,42,67,99
E3661,43,41,59,85,46
E7625,44,46,68,97,62
E4491,60,94,48,47,92
E7637,55,47,83,82,71
E0515,54,59,63,42,57
E4049,56,74,62,55,76
E4213,51,92,93,54,60
E3178,87,63,73,58,98
E5566,81,65,53,62,56
E0187,51,71,86,53,61
E3099,84,77,59,55,95
E2844,63,53,76,65,64
E8842,96,72,79,59,71
E1635,43,96,97,100,85
E4052,53,78,44,96,87
E1456,87,85,74,62,51
E4086,70,91,73,71,40
E6822,73,46,73,60,70
E7836,55,67,86,69,70
E3311,88,89,76,98,45
E5606,63,49,94,74,93
E9445,53,99,94,52,99
E9345,54,78,99,67,75
E1236,97,77,42,86,53
E5750,98,46,47,98,44
E2811,41,99,63,49,55
E8798,84,89,81,88,96
E2124,98,51,74,66,65
E9414,64,57,55,58,73
E5422,55,66,67,49,89
E2987,95,83,95,85,66
E2863,94,74,70,98,85
E0492,66,77,100,69,65
E6041,56,60,56,100,49
E1592,93,41,65,48,50
E9068,98,46,71,94,53
E4404,93,83,90,56,88
E0134,86,91,42,77,72
E5046,47,59,57,64,40
E5919,44,76,59,89,98
E0867,47,99,76,70,97
E7343,85,66,77,42,46
E8244,81,47,43,82,96
E1236,88,64,57,92,65
E7057,100,74,80,66,92
E6171,73,74,56,51,89
E0576,47,82,53,85,63
E3722,81,83,40,47,70
E2479,75,56,65,51,46
E5131,52,79,100,43,93
E3847,62,96,49,52,56
E4231,60,45,95,58,96
E5015,59,66,75,51,82
E4972,44,66,80,79,72
E9645,40,67,92,40,87
E2745,88,69,79,79,40
E9985,99,76,55,49,48
E2735,44,91,46,98,88
E4907,91,73,46,42,79
E5292,89,75,91,45,47
E8123,94,88,60,40,98
E8847,95,72,77,87,98
E8941,61,74,47,85,88
E7913,87,55,94,61,50
E4742,47,67,48,74,51
E9214,86,71,79,98,70
E2670,48,59,52,41,84
E2644,82,57,64,75,50
E7392,66,58,82,85,52
E8991,55,95,40,89,56
E5888,96,86,72,60,98
E1876,93,54,54,89,82
E3796,83,74,71,96,61
E3768,51,100,70,85,65
E9736,66,60,67,73,46
E5584,66,91,72,86,46
E5712,55,93,81,51,57
E2056,97,58,66,62,53
E2943,83,67,50,78,89
E7710,96,46,73,70,42
E5978,41,41,82,92,47
E7068,50,74,45,55,43
E4720,51,86,82,85,49
E6368,50,92,63,49,83
E4942,50,96,56,86,51
E5701,51,65,53,48,93
E2235,81,100,100,69,76
E4175,90,86,40,49,67
E5445,66,68,40,58,70
E5925,94,98,93,95,60
E5874,95,93,53,42,94
E1405,84,68,62,89,41
E1669,58,90,95,92,70
E0376,83,86,96,52,67
E3378,96,50,64,69,46
E0416,44,56,71,72,84
E7976,76,70,82,90,70
E5044,60,41,61,68,88
E8459,54,95,49,76,86
E5385,67,99,49,74,99
E1744,97,52,100,44,98
E4259,68,48,72,97,72
E1018,83,41,100,89,42
E3308,90,79,43,49,82
E1770,100,94,86,70,66
E3607,73,86,50,66,57
E8631,68,78,54,71,63
E7326,48,67,97,100,62
E3311,91,67,47,78,87
E5722,69,43,74,73,75
E9349,79,98,64,70,62
E5427,99,50,68,84,73
E5825,56,41,43,93,83
E1603,41,74,43,46,42
E4286,78,52,88,63,68
E6861,91,45,98,42,50
E2355,96,43,95,65,95
E3694,67,96,41,65,89
E7791,43,66,70,57,76
E1480,46,89,63,65,96
E2104,41,74,61,57,49
E8582,98,78,40,65,100
E9877,81,82,53,82,62
E2534,82,91,81,67,74
E3044,96,94,55,93,88
E8399,88,53,84,45,60
E7461,75,56,87,56,79
E1924,83,49,80,53,54
E5134,49,54,62,60,55
