EnrollmentNo,choice1,choice2, choice3,choice4,choice5,choice6,choice7, choice8,choice9,choice10
E9801,C4826-EC,C4501-Auto,C2310-EE,C9015-CH,C2310-ME,C9443-EC,C5597-EE,C1470-ME,C9443-IC,C6978-CH
E5925,C4790-Civil,C9435-Civil,C4501-CH,C2010-EE,C1376-CH,C9443-IT,C9118-EC,C9763-EC,C8911-CSE,C4790-ME
E5537,C7933-CH,C9435-EC,C2310-CSE,C1470-EC,C1932-ME,C4826-EE,C0060-IC,C9443-CSE,C6978-EE,C0060-IT
E3145,C9896-EE,C1470-IC,C8132-CSE,C8895-EE,C4826-Auto,C7933-CH,C6900-EC,C1570-IT,C4826-CH,C2010-IT
E8709,C4340-CSE,C4206-EE,C7410-CH,C0060-CSE,C6014-Auto,C5005-Civil,C7667-EE,C6200-CH,C8804-IC,C2800-Civil
E1244,C1664-CSE,C8132-Auto,C4501-CSE,C5111-Civil,C4212-Civil,C1376-EC,C7510-Auto,C6978-Civil,C2800-ME,C4340-ME
E2028,C9015-EC,C4849-IT,C6968-CSE,C6900-CSE,C9015-IC,C1664-IC,C6968-Civil,C9763-IC,C4449-CH,C1470-EE
E9950,C9443-Auto,C6900-CSE,C2010-Civil,C9435-CSE,C4501-ME,C6200-EE,C4212-IC,C1664-CH,C2220-Auto,C0871-IT
E6896,C6879-CH,C2220-CSE,C6900-IT,C9896-EC,C0871-CSE,C2220-IT,C8804-Civil,C5005-Auto,C9118-ME,C6200-EE
E9500,C4790-EE,C6200-CSE,C2525-Auto,C4206-CH,C9118-Auto,C6900-CSE,C1510-Civil,C2220-CSE,C0060-IC,C7510-EC
E8798,C4501-IC,C4449-CH,C7667-IC,C4849-ME,C1376-EE,C4206-ME,C1376-EC,C5597-IT,C9118-Civil,C2525-CSE
E1171,C9118-Auto,C2310-IC,C0060-Civil,C5668-CSE,C1664-Civil,C5111-IT,C5597-Auto,C7933-CH,C9443-ME,C7168-EC
E3392,C7933-IT,C2490-ME,C4340-Auto,C9015-ME,C2800-IT,C2800-CSE,C9763-IT,C1664-EC,C9763-CSE,C9118-CSE
E8966,C2800-IT,C1376-ME,C7330-Auto,C4826-CSE,C2010-Auto,C4206-ME,C4501-ME,C2525-IT,C8804-IC,C0871-ME
E1601,C1510-Auto,C4212-EC,C6900-IC,C0060-IC,C5668-CSE,C5111-CH,C2310-IC,C8132-EE,C9118-EE,C4340-CH
E3514,C4340-IT,C6968-IC,C4790-EE,C9443-IT,C9015-IC,C6879-Auto,C2310-Auto,C5111-ME,C4206-CSE,C1932-Auto
E4156,C7168-CSE,C2661-Civil,C1510-EC,C8911-EC,C4340-IT,C9435-EC,C4501-ME,C5005-EE,C6978-Civil,C2490-CSE
E2563,C8895-CH,C4340-ME,C4501-EE,C4212-ME,C2010-Auto,C2310-CH,C6978-Civil,C7330-Auto,C9118-EC,C8895-IT
E2827,C1470-EC,C1376-EC,C5597-EC,C2661-EC,C1570-Auto,C1932-ME,C7330-ME,C8804-CH,C8804-Auto,C8895-CH
E3884,C2010-ME,C4212-CSE,C9896-ME,C9896-CSE,C4849-Auto,C9896-ME,C4212-EC,C6200-EE,C4449-EE,C2310-CH
E4689,C6968-IC,C4206-ME,C4826-IT,C4849-EC,C8895-ME,C5005-Civil,C5597-EE,C1932-Civil,C1932-CH,C9015-Civil
E3561,C4212-EE,C9763-Auto,C1470-IC,C2525-EE,C9118-CSE,C4206-CH,C2800-CSE,C4340-CSE,C7410-ME,C4849-IC
E5069,C4206-Civil,C4206-IC,C7330-CH,C4449-ME,C8895-EC,C4449-CSE,C1664-EC,C0871-IT,C6879-IC,C0060-EC
E2595,C7933-EE,C9763-IC,C2310-Auto,C4501-ME,C9118-IT,C8804-Civil,C5005-CSE,C5111-EE,C4790-CSE,C6978-CH
E9197,C0060-Civil,C6900-EE,C5005-CSE,C6978-EC,C6014-CSE,C9443-EC,C2220-IT,C1470-CSE,C2220-CSE,C7330-Civil
E7654,C9118-Civil,C2800-IT,C4849-CSE,C9118-IC,C7933-Auto,C8911-IC,C4501-IC,C1510-ME,C6978-Civil,C7330-IT
E5429,C8911-IT,C7168-Civil,C6900-Civil,C5005-EE,C1570-Civil,C1376-Civil,C0871-CSE,C9443-Civil,C0060-IT,C9712-ME
E5746,C5111-Auto,C8895-IT,C8911-IT,C7933-IC,C5597-CSE,C5005-ME,C8132-CH,C6879-EE,C4501-IT,C6879-CH
E7370,C5668-CH,C4849-CSE,C5111-EC,C4501-EC,C7510-ME,C4206-IC,C8132-EC,C9896-CH,C0871-CH,C8132-Civil
E9659,C7933-CH,C1470-CSE,C6879-IC,C7667-CSE,C6014-IT,C5597-IC,C9896-EE,C5005-Civil,C9763-CH,C7510-EE
E3815,C7510-EE,C8132-EE,C9763-EE,C2661-EE,C9443-CSE,C9015-CSE,C1376-Civil,C1470-IT,C4212-CH,C4449-IC
E3637,C4449-EC,C9443-EE,C4501-CH,C8895-IT,C6879-EC,C1570-Auto,C7933-EE,C7410-EC,C4849-EC,C2525-Civil
E6758,C4206-ME,C1570-IT,C4340-EC,C2220-EC,C6978-ME,C6014-CSE,C6968-ME,C0871-EC,C1664-Auto,C9712-Civil
E6332,C4212-CSE,C0060-Auto,C5005-Auto,C5111-CSE,C2310-IC,C1376-IT,C9118-EC,C7510-IC,C7510-ME,C4501-ME
E2796,C8132-EE,C1470-IC,C2525-EE,C7410-EE,C2010-CSE,C4206-IT,C2220-EE,C6978-CH,C6900-Civil,C7933-ME
E9040,C4849-EC,C9896-Civil,C5597-CSE,C6900-ME,C4501-CSE,C1510-IC,C4212-ME,C2310-IC,C9443-Civil,C7510-Civil
E8535,C6978-EE,C6978-IC,C2310-CH,C6900-IC,C2661-CH,C7933-ME,C5005-EC,C6978-Civil,C1510-IT,C7330-ME
E2455,C0060-CSE,C8911-Civil,C5597-CH,C1932-EC,C1932-IC,C9015-EE,C6900-CSE,C7667-CSE,C8804-ME,C6900-ME
E9771,C6900-IC,C1510-ME,C6879-Auto,C4849-EE,C9763-Auto,C7667-CSE,C7667-CSE,C9118-CH,C8895-Civil,C1664-Civil
E1560,C7168-EE,C6879-IT,C4501-Civil,C2661-CSE,C5005-EE,C7933-ME,C8132-Civil,C4790-CSE,C9712-ME,C8895-EE
E0704,C7168-IT,C6014-Auto,C6978-Civil,C1470-CH,C1470-CSE,C4826-CSE,C7168-CSE,C5668-IT,C2800-IC,C4501-Civil
E8196,C8911-Civil,C2310-EC,C6200-Civil,C2800-EE,C1376-ME,C1932-CSE,C4501-Auto,C6879-EE,C7667-ME,C4790-Civil
E4367,C1376-CSE,C6014-CH,C4826-EE,C4206-IT,C7410-IC,C6900-ME,C6014-Auto,C2220-IC,C1510-CH,C5005-EC
E8584,C4849-EC,C1932-Auto,C0060-Civil,C9443-CSE,C2490-IT,C6900-EE,C9118-ME,C5668-Civil,C8132-IC,C1510-CSE
E1107,C7330-Auto,C1470-EE,C1376-EC,C6879-Civil,C1932-EC,C2800-ME,C4449-CSE,C8895-IC,C1376-CSE,C2800-ME
E8101,C6968-Civil,C6978-Auto,C6900-CH,C7933-Auto,C5668-Civil,C9712-EC,C8804-CSE,C6968-IC,C9443-IC,C8132-ME
E1929,C4340-IT,C6968-IC,C1932-ME,C2800-CH,C4206-Civil,C1664-Auto,C4212-ME,C4449-ME,C2490-EE,C7168-Auto
E2130,C1376-CH,C0871-EC,C5597-Auto,C9118-CSE,C1932-IC,C5668-EE,C2800-EE,C1570-Civil,C4849-Auto,C2010-IT
E0663,C2800-IT,C6978-IC,C2490-ME,C8895-EE,C5597-EC,C4340-Auto,C2220-EE,C2661-Civil,C9712-EE,C5005-CH
E9301,C9435-EC,C0871-CH,C5111-Civil,C4790-Auto,C8804-Civil,C1510-IC,C4340-CH,C8132-EC,C9443-Civil,C4826-CSE
E6583,C9763-ME,C9763-ME,C9015-CH,C2490-IT,C4206-IT,C4849-Civil,C2525-IC,C2310-Auto,C7410-Civil,C2010-EE
E0571,C7667-IC,C5597-EE,C4790-EE,C7933-EC,C9435-Auto,C5111-Civil,C6014-IT,C8132-IC,C5668-EE,C9443-Auto
E6366,C7510-Civil,C6968-EE,C9118-Civil,C9712-Auto,C5597-EC,C6014-CSE,C0871-Auto,C6014-IC,C2525-IT,C9763-EC
E8316,C1510-CH,C4206-EE,C2800-Auto,C1376-EE,C4212-ME,C7168-CSE,C9435-CSE,C8132-Civil,C2661-CSE,C4212-ME
E3529,C7410-EE,C9015-EE,C0871-EC,C0871-Auto,C5668-ME,C4212-IT,C1664-CSE,C1376-Auto,C7168-Auto,C6968-EC
E4081,C2010-EE,C4206-ME,C7330-IC,C4449-Auto,C8911-CH,C7410-EE,C5668-CH,C4826-IT,C2661-IT,C2220-Civil
E3126,C1510-IT,C6014-EC,C6200-EC,C5111-CH,C4790-CH,C4501-EC,C9763-CSE,C9118-Civil,C2010-CSE,C7667-CSE
E0082,C5111-Auto,C8895-Civil,C7168-EE,C6879-Civil,C8132-CSE,C4212-Civil,C7933-ME,C5597-EE,C4790-ME,C1510-CSE
E7801,C5597-EE,C8895-EC,C4849-ME,C4790-ME,C7933-EE,C9443-Civil,C4449-EE,C0060-IT,C6200-Civil,C4449-CSE
E2917,C2220-Civil,C4212-EE,C9763-EE,C1376-Civil,C6879-EC,C8895-CSE,C2661-CSE,C4449-EC,C5668-EC,C2010-EC
E0233,C4501-IC,C4826-Auto,C2310-ME,C6968-IC,C9015-Civil,C8804-EC,C1570-IC,C4340-ME,C9015-Civil,C9763-ME
E7439,C2525-IT,C6978-Civil,C8911-CSE,C2800-Civil,C1570-IC,C7168-IT,C6900-ME,C2220-Auto,C6879-Civil,C8911-Civil
E7006,C6968-IC,C9712-EE,C6879-Civil,C4826-ME,C5005-ME,C1932-IC,C9712-CSE,C4849-IT,C7410-EE,C4826-Civil
E5280,C8895-Civil,C9896-IC,C5005-CSE,C4826-EE,C1932-Civil,C4849-CH,C4206-ME,C1932-EE,C6968-IC,C4790-Auto
E2461,C5668-EC,C6900-CH,C9896-CSE,C2310-EC,C6968-CSE,C2220-IT,C2310-CH,C4212-CH,C9015-IC,C9118-Civil
E2746,C7410-IT,C2525-IC,C7330-CSE,C6879-IC,C5005-Civil,C9712-CSE,C7667-ME,C5005-ME,C1376-IC,C2310-CSE
E7733,C4849-CSE,C6014-IC,C1470-IC,C7410-CSE,C2490-IT,C4340-CH,C8895-CSE,C6879-Auto,C9435-ME,C5668-CSE
E9593,C2310-CH,C0871-Civil,C7510-ME,C0871-Auto,C2661-Auto,C1510-IT,C1932-CSE,C4212-CSE,C4501-ME,C2220-CH
E9486,C1570-IT,C5111-Auto,C6879-CH,C5597-CH,C2661-EE,C6978-Auto,C6968-EE,C6968-IT,C5111-Civil,C9435-CSE
E8847,C9443-CH,C6968-IT,C0871-IT,C9443-Civil,C6900-Civil,C4790-Auto,C1510-IT,C0871-EC,C9435-EE,C5111-IT
E5344,C9015-IC,C7410-CH,C5005-IC,C6014-CSE,C8895-ME,C8911-CH,C9896-CH,C1376-Civil,C4790-Civil,C4826-EE
E7919,C6900-Civil,C2661-Auto,C0871-Auto,C1376-IC,C7168-ME,C5597-IC,C4206-Auto,C7667-Civil,C2525-IT,C9435-EC
E3415,C5597-CSE,C4501-IC,C2661-IC,C2661-IC,C6014-IC,C7667-ME,C4449-Auto,C5005-Auto,C9896-CSE,C9763-EE
E7557,C6879-EE,C5597-EC,C5668-Auto,C5005-CSE,C8911-EE,C7410-EE,C9015-CSE,C7330-ME,C4849-Civil,C1570-IT
E3502,C4212-Civil,C9896-ME,C6900-Auto,C2220-CSE,C2220-CH,C6200-Auto,C9118-EC,C9118-IC,C6978-ME,C1664-IT
E7537,C7410-IC,C5111-IC,C9015-Auto,C7410-CH,C1510-Civil,C4849-Auto,C2220-CH,C4340-IC,C0060-Auto,C4206-CSE
E3152,C9443-ME,C2310-ME,C7330-Auto,C4826-CH,C6978-EC,C1510-EC,C1664-Auto,C7330-IC,C6014-EE,C8895-IC
E7430,C7168-CH,C1376-Civil,C8911-Auto,C7510-Auto,C7510-EE,C1570-CH,C9896-EC,C4790-IT,C5005-EE,C5668-EC
E4601,C2525-IC,C6978-EC,C1932-Civil,C9443-CSE,C2310-IC,C7510-EC,C1376-Auto,C7510-Civil,C4826-Civil,C1510-Civil
E2901,C6978-Civil,C1932-EE,C7510-ME,C8804-ME,C8132-ME,C5668-IT,C6879-IC,C1510-ME,C4826-Civil,C2800-ME
E0459,C9763-IT,C9443-Auto,C6968-CSE,C1376-IT,C6200-Auto,C4826-CH,C1510-IT,C8895-CH,C8132-CH,C8132-EC
E6529,C1570-IT,C5597-IC,C9712-EC,C9712-IC,C5111-IT,C2220-Civil,C4212-EC,C6014-EC,C7410-Auto,C0060-ME
E2883,C8132-Civil,C4501-CSE,C7410-Auto,C8895-Auto,C2310-EC,C4501-ME,C4790-CSE,C1664-CSE,C5111-CSE,C6978-IT
E2876,C7667-IT,C1510-EE,C6968-EE,C9443-CH,C4501-CSE,C1664-CH,C1510-ME,C1664-Auto,C2661-IT,C6200-EE
E0780,C7410-Civil,C4790-ME,C4212-IC,C0871-IC,C9435-CH,C4790-EC,C9015-EC,C5005-IT,C5668-CSE,C7168-CH
E1906,C6879-EC,C4790-IT,C1470-EE,C5111-Civil,C2661-ME,C6978-EE,C8132-EE,C6968-Civil,C7667-CSE,C4501-ME
E3998,C9443-Civil,C2310-CSE,C8804-EE,C7410-CSE,C8804-CSE,C1932-IC,C6968-CH,C6900-CH,C4340-EE,C1570-CSE
E0919,C1510-Auto,C9896-Civil,C7510-IC,C6978-EC,C2800-EE,C9896-IT,C9443-EE,C7510-EE,C2310-EE,C1376-Auto
E6940,C7933-CSE,C8895-CSE,C2525-EC,C9712-IT,C4501-Auto,C2220-EC,C6968-EC,C9015-IT,C7510-ME,C1932-CH
E1181,C9015-CH,C6968-CSE,C9435-ME,C7510-EE,C9435-Civil,C9712-EC,C9015-IC,C7667-IC,C6900-Auto,C4501-EE
E9558,C1570-CH,C6200-CH,C2310-Auto,C0871-ME,C7410-Civil,C6879-Auto,C0871-CSE,C4212-Auto,C2661-CSE,C4826-IT
E8209,C5005-IT,C2525-IC,C7933-ME,C7933-ME,C9763-EC,C5111-EE,C2525-EC,C9118-CSE,C6200-Civil,C0871-ME
E2351,C2310-IT,C4212-ME,C0060-IT,C9763-IC,C9896-CH,C2661-EC,C5597-CSE,C2800-IC,C5111-EE,C8911-ME
E4817,C7330-IC,C0060-IC,C5597-CH,C4826-CH,C9712-CSE,C1510-Civil,C6879-Auto,C5111-IT,C2525-ME,C9118-IT
E8686,C2490-IC,C2220-CH,C6200-EE,C2800-CSE,C4826-CSE,C6978-IC,C2220-EE,C5597-Civil,C6900-EC,C2661-ME
E8647,C9763-Civil,C0060-Auto,C8804-IT,C1470-IC,C8132-Civil,C4340-ME,C9712-Auto,C6879-CH,C9118-CH,C5597-Auto
E3449,C1570-EE,C9443-CSE,C6014-EE,C7667-IC,C5668-EC,C8132-Auto,C6968-CH,C2310-ME,C1664-EE,C6968-CH
E0636,C6900-EC,C7330-Civil,C6200-IC,C5005-ME,C1932-CH,C6900-EE,C1570-EE,C7168-Civil,C7933-CH,C7933-CH
E9676,C2661-EC,C9763-Civil,C2800-ME,C4790-ME,C7933-EE,C9435-EE,C2661-IT,C1664-EC,C9015-EE,C7667-IT
E9730,C4340-CSE,C6200-CH,C0871-EC,C1376-ME,C1570-IC,C7168-IC,C9435-CSE,C5111-IT,C4212-Civil,C2310-ME
E0030,C6200-ME,C1664-ME,C8804-IC,C7510-ME,C5597-CH,C1664-CH,C0871-Auto,C9435-Auto,C9435-EE,C0060-IT
E2733,C1470-IC,C8132-EC,C9118-IT,C2661-IT,C7933-ME,C1664-CH,C4501-EE,C4206-IT,C7330-EC,C6978-CSE
E2235,C6900-Auto,C7667-IC,C6978-Auto,C1376-CSE,C1376-Civil,C8895-EC,C5111-Auto,C2310-CSE,C2490-EC,C7168-IT
E3044,C9712-IC,C9763-EC,C4206-ME,C6968-Civil,C1470-EC,C8895-CH,C1510-EE,C7330-IC,C4449-Auto,C0871-Auto
E3609,C4501-IT,C4449-Auto,C1932-EE,C7667-CSE,C0060-Auto,C1510-EE,C1664-CSE,C6879-CSE,C2525-IT,C5111-CH
E2977,C9712-Civil,C6200-CSE,C9896-EC,C6968-IT,C7510-EE,C4501-Auto,C8804-EC,C1470-IT,C2525-IC,C0871-EE
E7505,C9896-IC,C7330-EE,C6014-ME,C7510-EE,C9896-CSE,C2525-IT,C8895-Civil,C9896-IT,C2800-IC,C4212-IC
E0559,C1932-IC,C6900-CSE,C6879-ME,C6968-EE,C2525-ME,C2010-CH,C9015-Civil,C2220-IT,C1470-IT,C9435-CSE
E2822,C6968-Auto,C8804-Civil,C8804-EE,C2661-CH,C2010-IT,C1570-EC,C4790-EC,C0871-IC,C5597-CSE,C2310-EC
E6208,C1664-Civil,C1570-Civil,C7410-Civil,C6014-EC,C7667-IT,C1376-ME,C2010-CSE,C4790-EC,C4790-EE,C0060-Auto
E7133,C0871-Civil,C5597-CH,C1932-IT,C4449-EC,C2661-CSE,C5597-Civil,C2310-EE,C5597-Auto,C8804-Civil,C2800-EC
E1364,C4206-ME,C0871-IC,C7330-IC,C4206-CH,C6879-CSE,C1376-EE,C4849-IT,C4849-CSE,C2220-EC,C5597-EC
E1977,C1664-EC,C9763-EC,C5668-IC,C5597-IT,C8911-EE,C2525-IT,C8132-Civil,C8132-IT,C1510-ME,C4790-ME
E4103,C9896-Auto,C2010-EE,C2490-IC,C1570-Civil,C2490-EE,C4340-Civil,C6968-ME,C1932-EC,C8911-CSE,C9118-IC
E5893,C5668-Auto,C4790-EC,C6978-CSE,C6978-Auto,C7410-CSE,C2010-Civil,C8895-CSE,C4790-IC,C2310-IT,C7510-CH
E6734,C5005-IT,C1510-EE,C1570-Auto,C6968-EE,C2220-EC,C1470-Civil,C8132-ME,C8911-IC,C7168-IC,C5597-IC
E4088,C2800-EE,C5668-Auto,C7330-IT,C5668-IT,C8895-Civil,C2661-EE,C8895-ME,C2525-Auto,C4826-CH,C9896-EC
E1855,C6014-EC,C6968-EC,C6014-ME,C2310-Civil,C6014-ME,C2010-Civil,C6879-CH,C5668-ME,C2661-IC,C2661-ME
E7387,C2220-IT,C7168-Auto,C1570-ME,C5005-EC,C2310-IT,C2661-IC,C9118-Civil,C4501-Auto,C6014-Auto,C1932-ME
E7749,C2010-Auto,C5597-EC,C4449-Auto,C7510-IT,C9896-Civil,C0060-Auto,C7168-EC,C6978-EC,C8132-IC,C7667-ME
E7961,C0871-ME,C5668-CH,C8895-CSE,C2490-Civil,C2490-EC,C8804-EE,C0060-CSE,C0871-EE,C2661-EE,C7168-EC
E4941,C5005-EC,C5668-IC,C8132-ME,C1664-Civil,C2220-EE,C1470-CSE,C9015-EC,C1664-CH,C1470-CSE,C2220-IT
E8787,C9435-CH,C4449-IC,C4826-EE,C5005-IT,C0871-CSE,C7330-EE,C6978-Civil,C4849-IC,C9443-IT,C2661-EC
E4110,C9763-CSE,C1570-IC,C1570-EC,C9896-IT,C7410-CSE,C2661-ME,C9118-Civil,C6879-Auto,C2010-Auto,C0871-Auto
E9008,C5668-EC,C8895-EC,C1932-EE,C1510-EE,C0871-Civil,C5111-Civil,C4340-EC,C2220-EC,C2800-CH,C1470-IT
E2987,C1510-Auto,C7410-EC,C1510-CSE,C9015-EE,C4449-CH,C5597-ME,C6900-CH,C4826-CH,C0060-EC,C9896-IT
E3972,C9763-CSE,C4212-IC,C2661-EE,C7330-EC,C4206-IT,C6200-EC,C1376-EE,C5668-IT,C5668-EE,C2010-CH
E8206,C7410-IC,C4340-CH,C6879-IT,C8911-Auto,C4340-IC,C4501-EC,C9763-ME,C4206-EE,C6968-ME,C1376-CH
E5997,C9712-Auto,C1470-EC,C1932-Auto,C9015-CH,C9443-EC,C8895-Auto,C6200-EE,C8895-CSE,C4826-Auto,C6879-EC
E0772,C4826-EC,C1470-ME,C1664-EC,C9118-Auto,C2220-CH,C0060-IC,C6968-CSE,C2490-CH,C1470-IT,C8911-ME
E1663,C1470-EE,C2010-ME,C8804-IT,C6014-EC,C4340-Civil,C7510-ME,C1932-CSE,C1470-IT,C4790-EC,C2525-Civil
E6488,C4449-ME,C7667-ME,C4449-ME,C4790-IC,C1470-IC,C5668-EE,C8132-ME,C1570-CH,C5111-Auto,C1664-EE
E7711,C7168-EC,C4206-Civil,C4501-Auto,C0871-EE,C5005-CSE,C7330-Civil,C6879-EC,C5597-IT,C0871-CSE,C2525-Civil
E6589,C7933-IT,C6900-IC,C1376-EC,C4790-Auto,C7410-ME,C9015-IC,C2010-IT,C6968-IC,C8804-CH,C4790-IT
E7083,C9118-ME,C6200-CH,C7510-Auto,C2490-ME,C6900-CSE,C2010-Auto,C8804-CH,C4501-EE,C6968-ME,C1570-IC
