EnrollmentNo,sub1,sub2,sub3,sub4,sub5,Total,Percentage
E5491,67,89,92,83,81,412,83
E8487,63,89,74,99,87,412,83
E0397,55,100,84,89,83,411,83
E7686,69,85,87,98,72,411,83
E2854,75,94,84,99,59,411,83
E9701,72,92,62,85,100,411,83
E6079,78,56,91,92,94,411,83
E6149,100,65,87,92,67,411,83
E9408,93,68,78,79,93,411,83
E5217,81,79,70,93,88,411,83
E9472,54,96,94,86,81,411,83
E1433,79,74,75,100,83,411,83
E2040,93,89,58,82,89,411,83
E5228,89,84,98,87,53,411,83
E5902,91,69,89,74,88,411,83
E3630,89,82,98,89,53,411,83
E6840,91,90,95,60,75,411,83
E0447,88,56,91,80,96,411,83
E5768,93,84,54,81,99,411,83
E8486,75,90,78,81,87,411,83
E3840,89,98,62,83,79,411,83
E6107,73,70,100,88,79,410,82
E4811,76,69,95,71,99,410,82
E4404,93,83,90,56,88,410,82
E1306,49,96,70,100,95,410,82
E1316,96,64,73,86,91,410,82
E0060,62,65,95,99,89,410,82
E8699,57,85,77,91,100,410,82
E1468,93,50,87,90,90,410,82
E5212,60,76,96,86,92,410,82
E4110,80,75,98,87,70,410,82
E9720,82,85,94,70,79,410,82
E3949,62,91,82,98,77,410,82
E0977,97,47,98,87,81,410,82
E3903,95,65,81,82,87,410,82
E8947,84,92,78,92,64,410,82
E4202,60,96,81,78,95,410,82
E9022,87,63,99,60,100,409,82
E3496,77,71,87,84,90,409,82
E6052,84,64,100,61,100,409,82
E6077,79,95,70,79,86,409,82
E5082,48,80,91,93,97,409,82
E0569,87,77,65,85,95,409,82
E8680,93,40,99,88,89,409,82
E4295,83,91,77,96,62,409,82
E3470,97,63,86,77,86,409,82
E5396,74,92,82,69,92,409,82
E3753,100,64,91,88,66,409,82
E7897,85,63,84,95,82,409,82
E0587,77,91,54,95,92,409,82
E4737,61,82,89,78,99,409,82
E9674,66,68,88,90,97,409,82
E2745,74,78,95,64,98,409,82
E2661,100,88,65,59,97,409,82
E9421,81,89,89,76,74,409,82
E4319,69,94,66,98,82,409,82
E3489,75,84,82,97,71,409,82
E7857,67,89,67,90,96,409,82
E0075,85,86,74,78,86,409,82
E7515,87,61,79,99,83,409,82
E4846,86,79,100,45,99,409,82
E9019,98,99,45,99,68,409,82
E2403,75,84,72,99,79,409,82
E2608,81,84,91,53,100,409,82
E6689,87,51,89,83,98,408,82
E1410,97,93,94,51,73,408,82
E0338,97,81,89,69,72,408,82
E4223,88,87,76,89,68,408,82
E5023,97,69,88,91,63,408,82
E0460,61,82,99,100,66,408,82
E7335,81,60,89,94,84,408,82
E2193,99,87,57,92,73,408,82
E3470,79,81,88,73,87,408,82
E7273,84,75,91,73,85,408,82
E9632,68,66,80,100,94,408,82
E4913,100,97,90,75,46,408,82
E9392,82,94,43,91,98,408,82
E0383,86,70,72,91,89,408,82
E0661,97,47,81,87,96,408,82
E9324,84,95,53,77,99,408,82
E9548,87,85,85,79,72,408,82
E9402,42,100,96,91,79,408,82
E5752,100,58,73,94,83,408,82
E0369,98,93,79,77,61,408,82
E3507,100,73,75,78,82,408,82
E7053,56,95,65,96,96,408,82
E6827,81,91,70,75,91,408,82
E7677,93,100,84,91,40,408,82
E0295,79,55,75,99,99,407,82
E2882,72,75,73,96,91,407,82
E1142,96,100,73,84,54,407,82
E2523,93,80,76,60,98,407,82
E8237,80,83,94,100,50,407,82
E9776,71,64,91,94,87,407,82
E6652,95,71,74,89,78,407,82
E7504,86,99,51,81,90,407,82
E3169,49,90,98,77,93,407,82
E6221,63,79,91,75,99,407,82
E7152,76,98,93,99,41,407,82
E2523,74,98,91,64,80,407,82
E2278,100,92,90,46,79,407,82
E5220,93,72,71,99,72,407,82
E9188,85,76,92,91,63,407,82
E3241,81,92,63,77,94,407,82
E3600,93,81,95,50,88,407,82
E8968,72,70,93,80,92,407,82
E3673,97,73,65,80,92,407,82
E8115,67,80,93,81,86,407,82
E0772,94,74,58,88,93,407,82
E4518,88,52,97,95,75,407,82
E1966,88,75,75,89,79,406,82
E2824,99,96,62,72,77,406,82
E4016,53,84,81,88,100,406,82
E3795,93,98,55,68,92,406,82
E1291,74,98,72,94,68,406,82
E3552,88,85,81,60,92,406,82
E5588,90,86,95,63,72,406,82
E1275,77,100,96,50,83,406,82
E8805,47,79,99,100,81,406,82
E0709,74,88,64,97,83,406,82
E4775,55,93,94,88,76,406,82
E8907,97,90,45,97,77,406,82
E1902,94,68,95,53,96,406,82
E3149,93,97,57,77,82,406,82
E4027,70,88,88,64,96,406,82
E7979,82,74,71,96,83,406,82
E0543,100,69,90,80,67,406,82
E6736,100,73,96,48,89,406,82
E7743,98,58,62,99,89,406,82
E3309,79,89,51,94,93,406,82
E7788,91,68,83,96,67,405,81
E1669,58,90,95,92,70,405,81
E5575,81,79,72,93,80,405,81
E7805,100,54,67,95,89,405,81
E4071,73,85,76,83,88,405,81
E4981,82,62,81,86,94,405,81
E9046,80,72,70,98,85,405,81
E4180,59,93,88,85,80,405,81
E1244,100,57,86,98,64,405,81
E1338,96,90,93,51,75,405,81
E2342,97,85,97,54,72,405,81
E7641,87,72,96,53,97,405,81
E6901,100,71,99,66,69,405,81
E4594,74,63,87,82,99,405,81
E1834,98,70,87,95,55,405,81
E5941,89,41,99,83,93,405,81
E8664,100,87,61,94,63,405,81
E1021,60,65,88,92,99,404,81
E5942,93,86,67,75,83,404,81
E9214,86,71,79,98,70,404,81
E9466,52,94,89,84,85,404,81
E7402,95,40,96,99,74,404,81
E8979,99,84,52,87,82,404,81
E8235,74,99,87,59,85,404,81
E4503,76,87,100,54,87,404,81
E2734,46,86,97,82,93,404,81
E1334,59,62,97,93,93,404,81
E1033,83,44,98,94,85,404,81
E2158,100,81,58,96,69,404,81
E4179,90,46,86,85,97,404,81
E5430,72,93,87,68,84,404,81
E9596,48,74,94,98,90,404,81
E9170,40,100,73,94,97,404,81
E9458,98,68,91,92,55,404,81
E7250,74,65,91,86,87,403,81
E0197,70,99,55,82,97,403,81
E5779,80,63,93,76,91,403,81
E2008,81,78,91,53,100,403,81
E2860,98,72,75,82,76,403,81
E1317,67,62,94,96,84,403,81
E3957,71,73,88,98,73,403,81
E8186,89,90,72,87,65,403,81
E5675,91,44,100,76,92,403,81
E7866,69,83,55,96,100,403,81
E5676,94,92,49,85,83,403,81
E8698,99,59,95,75,75,403,81
E8963,86,82,85,79,70,402,81
E2966,65,62,98,90,87,402,81
E1750,91,81,57,100,73,402,81
E1449,94,45,81,87,95,402,81
E4283,76,77,75,81,93,402,81
E2531,63,67,99,90,83,402,81
E7440,54,49,100,99,100,402,81
E8213,46,96,73,100,87,402,81
E1469,90,89,81,44,98,402,81
E6628,85,51,81,99,86,402,81
E5750,85,89,60,85,83,402,81
E7897,69,52,92,89,100,402,81
E8440,63,51,100,91,97,402,81
E6492,87,87,66,64,98,402,81
E0480,81,89,79,68,85,402,81
E0206,71,83,72,96,80,402,81
E1584,92,76,95,95,44,402,81
E4454,83,60,94,96,69,402,81
E9668,77,97,100,57,71,402,81
E3692,71,73,85,82,91,402,81
E3825,85,99,82,51,85,402,81
E2698,85,98,66,94,59,402,81
E4352,91,63,85,75,88,402,81
E7474,57,95,57,99,93,401,81
E4089,50,86,80,91,94,401,81
E4783,99,81,95,75,51,401,81
E0730,52,98,78,89,84,401,81
E4904,49,85,82,99,86,401,81
E1765,85,46,87,93,90,401,81
E6801,75,93,80,54,99,401,81
E2827,84,88,54,96,79,401,81
E3033,73,93,65,76,94,401,81
E3954,80,64,100,65,92,401,81
E7429,92,86,92,54,77,401,81
E3663,79,100,63,96,63,401,81
E6198,68,85,71,90,87,401,81
E4163,81,65,88,69,98,401,81
E0728,53,63,92,94,99,401,81
E6269,70,58,99,97,77,401,81
E4150,42,88,100,100,71,401,81
E3241,96,83,91,64,67,401,81
E5772,99,90,76,79,57,401,81
E0475,91,80,81,59,90,401,81
E8442,87,100,66,96,52,401,81
E4762,91,63,91,95,61,401,81
E9449,72,95,94,77,63,401,81
E9419,50,75,82,96,98,401,81
E6747,85,95,93,54,74,401,81
E0355,81,99,74,86,61,401,81
E7643,99,80,99,42,80,400,80
E1175,73,98,94,92,43,400,80
E1523,91,92,87,89,41,400,80
E2238,84,90,91,69,66,400,80
E0017,98,72,81,69,80,400,80
E5975,62,59,85,99,95,400,80
E3768,96,83,51,85,85,400,80
E0120,95,50,77,99,79,400,80
E2595,98,83,57,85,77,400,80
E7464,96,68,91,100,45,400,80
E5445,43,99,82,91,85,400,80
E7923,76,99,49,81,95,400,80
E9934,76,87,97,82,58,400,80
E0821,78,73,91,94,64,400,80
E4798,86,78,68,81,87,400,80
E1260,81,61,96,66,96,400,80
E6858,99,43,81,84,93,400,80
E8600,98,87,48,91,76,400,80
E5055,90,84,86,65,75,400,80
E7582,100,68,79,70,83,400,80
E0697,97,58,100,60,84,399,80
E1380,98,90,59,83,69,399,80
E5381,98,91,65,69,76,399,80
E6691,49,88,75,88,99,399,80
E3053,56,88,78,88,89,399,80
E8213,80,68,91,61,99,399,80
E4921,97,71,62,87,82,399,80
E7829,98,47,85,77,92,399,80
E9009,52,95,100,57,95,399,80
E0626,89,47,98,75,90,399,80
E4710,85,87,74,82,71,399,80
E2637,70,94,94,100,41,399,80
E4056,52,96,98,85,68,399,80
E7141,59,75,96,69,100,399,80
E3790,67,61,99,92,80,399,80
E1167,42,91,92,94,80,399,80
E8183,51,96,68,96,88,399,80
E8051,68,94,98,72,67,399,80
E6594,90,93,95,42,79,399,80
E3356,77,95,63,97,67,399,80
E1046,67,63,100,96,73,399,80
E8641,77,78,77,73,94,399,80
E0714,96,92,69,52,90,399,80
E2310,92,100,97,46,63,398,80
E8448,60,86,88,66,98,398,80
E8430,77,92,79,90,60,398,80
E1077,100,94,45,59,100,398,80
E3013,77,100,69,81,71,398,80
E7848,61,85,86,72,94,398,80
E1442,79,56,72,93,98,398,80
E9967,86,65,67,84,96,398,80
E8190,59,90,64,98,87,398,80
E0393,100,85,55,63,95,398,80
E4312,62,87,97,94,58,398,80
E9985,92,81,66,61,98,398,80
E5655,77,77,87,69,88,398,80
E0390,86,99,52,69,92,398,80
E0230,93,77,42,87,99,398,80
E0173,95,93,51,90,69,398,80
E9135,86,68,81,95,68,398,80
E6222,100,48,74,97,79,398,80
E0723,74,67,84,89,84,398,80
E8149,94,60,56,97,91,398,80
E1973,81,45,83,100,89,398,80
E9373,60,69,89,87,93,398,80
E0879,43,95,74,91,95,398,80
E0995,71,86,63,77,100,397,80
E6889,59,84,94,72,88,397,80
E2129,61,100,65,80,91,397,80
E9445,53,99,94,52,99,397,80
E3440,77,45,100,89,86,397,80
E9769,81,97,96,79,44,397,80
E5922,81,78,55,86,97,397,80
E6238,85,77,72,80,83,397,80
E4070,89,86,94,51,77,397,80
E0032,92,94,73,60,78,397,80
E3387,56,79,77,90,95,397,80
E8555,74,100,72,51,100,397,80
E4232,76,88,93,57,83,397,80
E6802,90,64,81,94,68,397,80
E6509,81,98,95,70,53,397,80
E0811,78,87,84,78,70,397,80
E8124,57,94,82,81,83,397,80
E5323,91,98,93,71,44,397,80
E8156,72,95,70,67,93,397,80
E6820,100,54,99,55,89,397,80
E5333,77,79,85,64,92,397,80
E5236,91,80,72,75,79,397,80
E8296,99,52,86,69,91,397,80
E9994,84,60,100,79,74,397,80
E3064,51,80,85,100,80,396,80
E1107,99,58,74,81,84,396,80
E5557,58,84,68,86,100,396,80
E3311,88,89,76,98,45,396,80
E4140,64,91,82,76,83,396,80
E6440,91,63,67,100,75,396,80
E9311,80,67,88,66,95,396,80
E3924,81,84,75,92,64,396,80
E6183,50,90,96,61,99,396,80
E3762,47,90,69,94,96,396,80
E8382,68,52,98,85,93,396,80
E6974,54,94,93,90,65,396,80
E6677,46,88,84,78,100,396,80
E5932,87,77,69,80,83,396,80
E0766,74,100,89,92,41,396,80
E5999,76,96,63,70,91,396,80
E8410,79,70,91,89,67,396,80
E4341,66,63,97,95,75,396,80
E8850,78,77,69,94,78,396,80
E5111,94,47,84,92,79,396,80
E2487,86,94,73,67,76,396,80
E3185,70,64,83,88,91,396,80
E2163,80,49,86,88,93,396,80
E3554,76,67,84,72,96,395,79
E1117,65,78,97,70,85,395,79
E4148,64,86,100,62,83,395,79
E1366,82,41,98,96,78,395,79
E6476,70,94,94,69,68,395,79
E2534,82,91,81,67,74,395,79
E0587,60,69,99,79,88,395,79
E4807,60,100,94,57,84,395,79
E5931,59,84,84,83,85,395,79
E5328,86,55,84,90,80,395,79
E6580,63,100,82,72,78,395,79
E6652,85,100,70,93,47,395,79
E7394,56,94,82,96,67,395,79
E4456,75,69,78,87,86,395,79
E7986,93,63,86,77,76,395,79
E8465,78,85,79,79,74,395,79
E9002,75,90,60,89,81,395,79
E7542,92,66,70,74,93,395,79
E3866,72,91,97,51,84,395,79
E4998,74,82,83,57,99,395,79
E6305,81,63,69,93,89,395,79
E7763,84,73,91,99,47,394,79
E7327,76,98,73,69,78,394,79
E4747,60,90,74,79,91,394,79
E9455,78,85,63,71,97,394,79
E1156,100,99,72,70,53,394,79
E2355,96,43,95,65,95,394,79
E3691,73,79,74,70,98,394,79
E2137,100,95,70,79,50,394,79
E6615,85,87,84,67,71,394,79
E0967,96,63,79,61,95,394,79
E2895,86,71,51,95,91,394,79
E2686,86,86,48,82,92,394,79
E6928,96,99,88,56,55,394,79
E9732,93,42,83,90,86,394,79
E8391,55,89,68,88,94,394,79
E7537,71,94,75,85,69,394,79
E3020,100,42,93,73,86,394,79
E1426,56,84,76,81,97,394,79
E7525,98,46,94,69,87,394,79
E3375,76,55,97,92,74,394,79
E5824,85,70,95,94,49,393,79
E6851,77,85,95,40,96,393,79
E4286,49,95,93,65,91,393,79
E1718,58,72,77,98,88,393,79
E9490,84,67,90,96,56,393,79
E7413,98,62,89,56,88,393,79
E3024,71,98,77,77,70,393,79
E3779,70,100,75,55,93,393,79
E3919,68,95,96,53,81,393,79
E8010,91,87,96,75,44,393,79
E0666,93,66,93,65,76,393,79
E5999,73,74,95,88,63,393,79
E4971,81,95,90,55,72,393,79
E2160,97,100,48,70,78,393,79
E4836,79,99,55,72,88,393,79
E3901,84,40,93,90,86,393,79
E6181,99,97,68,44,85,393,79
E0572,85,81,96,71,60,393,79
E6922,48,87,99,80,79,393,79
E8647,69,64,91,90,79,393,79
E2836,82,79,91,64,77,393,79
E0753,63,91,94,56,89,393,79
E5495,89,44,72,88,100,393,79
E6313,78,62,78,99,76,393,79
E8183,81,86,63,82,81,393,79
E6302,90,63,92,96,52,393,79
E7651,91,69,94,44,95,393,79
E4643,80,94,79,69,70,392,79
E8288,80,75,84,90,63,392,79
E3889,47,96,82,72,95,392,79
E3686,76,81,90,58,87,392,79
E1845,97,55,71,73,96,392,79
E4355,96,97,78,44,77,392,79
E0639,95,42,94,90,71,392,79
E0635,81,88,76,63,84,392,79
E2989,93,95,57,62,85,392,79
E7434,94,54,88,72,84,392,79
E7118,71,74,52,96,99,392,79
E3208,47,99,97,84,65,392,79
E8923,84,59,88,88,73,392,79
E2087,88,89,68,61,86,392,79
E6748,86,44,93,90,79,392,79
E8595,87,91,90,65,59,392,79
E5378,89,79,80,57,87,392,79
E7604,81,62,71,82,96,392,79
E0068,58,79,79,93,83,392,79
E7651,66,56,94,92,84,392,79
E0808,74,92,85,65,76,392,79
E9468,56,73,81,85,97,392,79
E2967,87,66,87,71,81,392,79
